,IDs,Primary Emotion,Emotion Class,N_words,V_words,V_lemma,syl,word_long,word_long_pr,ASW,ACW,lemma_long,lemma_long_pr,TTR_word,TTR_lemma,YuleK_word,YuleI_word,YuleK_lemma,YuleI_lemma
86,0107623281_00__00-channel-0-number-044_139430,Н,3,13,12,11,25,1,0.07692307692307693,1.9230769230769231,3.923076923076923,0,0.0,0.9230769230769231,0.8461538461538461,208.33333333333334,48.0,495.8677685950413,20.166666666666668
87,0107623281_00__00-channel-0-number-045_144450,Н,3,6,6,6,18,3,0.5,3.0,6.333333333333333,2,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0
88,0107623281_00__00-channel-0-number-046_148540,Н,3,12,12,11,17,1,0.08333333333333333,1.4166666666666667,3.5833333333333335,0,0.0,1.0,0.9166666666666666,0.0,0.0,247.93388429752065,40.333333333333336
89,0107623281_00__00-channel-0-number-051_164670,Н,3,8,6,6,13,1,0.125,1.625,3.875,0,0.0,0.75,0.75,1666.6666666666667,6.0,1666.6666666666667,6.0
90,0107623281_00__00-channel-0-number-074_241890,Н,3,9,8,8,16,1,0.1111111111111111,1.7777777777777777,4.555555555555555,1,0.1111111111111111,0.8888888888888888,0.8888888888888888,468.75,21.333333333333332,468.75,21.333333333333332
91,0107627431_00__00-channel-0-number-024_117070,Н,3,11,11,10,23,3,0.2727272727272727,2.090909090909091,5.090909090909091,1,0.09090909090909091,1.0,0.9090909090909091,0.0,0.0,300.0,33.333333333333336
92,0107628161_00__00-channel-0-number-012_39400,Н,3,6,6,6,10,0,0.0,1.6666666666666667,3.8333333333333335,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
93,0107633691_00__00-channel-0-number-013_35870,Н,3,6,5,5,16,2,0.4,3.2,7.0,1,0.2,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
94,0107634331_00__00-channel-0-number-017_60970,Н,3,5,5,5,10,1,0.2,2.0,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
95,0107634701_00__00-channel-0-number-003_15870,Н,3,5,5,5,15,2,0.4,3.0,7.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
96,0107634701_00__00-channel-0-number-008_43060,Н,3,4,3,3,7,0,0.0,1.75,4.75,0,0.0,0.75,0.75,3333.3333333333335,3.0,3333.3333333333335,3.0
97,0107634701_00__00-channel-0-number-009_45760,Н,3,5,4,4,7,0,0.0,1.4,3.2,0,0.0,0.8,0.8,1875.0,5.333333333333333,1875.0,5.333333333333333
98,0107634731_00__00-channel-0-number-005_18410,Н,3,9,8,7,19,2,0.2222222222222222,2.111111111111111,5.333333333333333,1,0.1111111111111111,0.8888888888888888,0.7777777777777778,468.75,21.333333333333332,1224.4897959183675,8.166666666666666
99,0107634731_00__00-channel-0-number-015_49080,Н,3,9,9,9,16,0,0.0,1.7777777777777777,4.222222222222222,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
100,0107635171_00__00-channel-0-number-034_136570,Н,3,8,8,8,18,0,0.0,2.25,5.25,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
101,0107635171_00__00-channel-0-number-035_141460,Н,3,12,10,10,26,3,0.3,2.6,6.2,2,0.2,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
102,0107635171_00__00-channel-0-number-036_145600,Н,3,10,10,10,17,0,0.0,1.7,3.9,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
103,0107635171_00__00-channel-0-number-037_150870,Н,3,9,9,8,13,1,0.1111111111111111,1.4444444444444444,3.5555555555555554,0,0.0,1.0,0.8888888888888888,0.0,0.0,468.75,21.333333333333332
104,0107635171_00__00-channel-0-number-038_157280,Н,3,7,7,7,15,1,0.14285714285714285,2.142857142857143,4.714285714285714,1,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0
105,0107635171_00__00-channel-0-number-039_160480,Н,3,4,4,4,8,0,0.0,2.0,4.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
106,0107636921_00__00-channel-0-number-031_106710,Н,3,6,6,6,8,0,0.0,1.3333333333333333,3.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
107,0107637691_00__00-channel-0-number-013_58690,Н,3,12,11,11,25,2,0.16666666666666666,2.0833333333333335,4.25,2,0.16666666666666666,0.9166666666666666,0.9166666666666666,247.93388429752065,40.333333333333336,247.93388429752065,40.333333333333336
108,0107637801_00__00-channel-0-number-008_26760,Н,3,6,6,6,16,2,0.3333333333333333,2.6666666666666665,6.5,2,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0
109,0107640491_00__00-channel-0-number-032_98050,Н,3,8,6,6,14,0,0.0,1.75,4.0,0,0.0,0.75,0.75,1666.6666666666667,6.0,1666.6666666666667,6.0
110,0107641161_00__00-channel-0-number-001_3450,Н,3,7,7,7,11,0,0.0,1.5714285714285714,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
111,0107641161_00__00-channel-0-number-002_6240,Н,3,10,10,9,17,0,0.0,1.7,3.9,0,0.0,1.0,0.9,0.0,0.0,370.3703703703704,27.0
112,0107641161_00__00-channel-0-number-003_10030,Н,3,10,10,10,17,1,0.1,1.7,4.6,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
113,0107641161_00__00-channel-0-number-005_17480,Н,3,7,5,5,20,4,0.8,4.0,9.2,2,0.4,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,0.0
114,0107642221_01__00-channel-0-number-001_3780,Н,3,5,5,5,7,1,0.2,1.4,3.4,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
115,0107642221_01__00-channel-0-number-005_16640,Н,3,13,12,11,25,0,0.0,1.9230769230769231,4.538461538461538,0,0.0,0.9230769230769231,0.8461538461538461,208.33333333333334,48.0,495.8677685950413,20.166666666666668
116,0107642221_01__00-channel-0-number-018_64930,Н,3,8,8,8,16,1,0.125,2.0,4.125,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
117,0107642231_01__00-channel-0-number-004_13690,Н,3,14,13,12,25,1,0.07142857142857142,1.7857142857142858,3.857142857142857,0,0.0,0.9285714285714286,0.8571428571428571,177.51479289940826,56.333333333333336,416.6666666666667,24.0
118,0107642261_00__00-channel-0-number-016_53330,Н,3,4,4,4,6,0,0.0,1.5,3.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
119,0107642261_01__00-channel-0-number-026_103830,Н,3,7,7,7,13,1,0.14285714285714285,1.8571428571428572,4.285714285714286,1,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0
120,0107642261_01__00-channel-0-number-027_106390,Н,3,13,12,12,22,1,0.07692307692307693,1.6923076923076923,4.0,1,0.07692307692307693,0.9230769230769231,0.9230769230769231,208.33333333333334,48.0,208.33333333333334,48.0
121,0107642261_01__00-channel-0-number-045_180470,Н,3,7,7,6,10,0,0.0,1.4285714285714286,3.4285714285714284,0,0.0,1.0,0.8571428571428571,0.0,0.0,833.3333333333334,12.0
122,0107642261_01__00-channel-0-number-052_203900,Н,3,11,11,10,27,2,0.18181818181818182,2.4545454545454546,5.0,2,0.18181818181818182,1.0,0.9090909090909091,0.0,0.0,300.0,33.333333333333336
123,0107642261_01__00-channel-0-number-083_315860,Н,3,6,5,5,13,1,0.2,2.6,6.2,0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
124,0107642261_01__00-channel-0-number-084_318270,Н,3,7,7,7,14,1,0.14285714285714285,2.0,4.571428571428571,1,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0
125,0107642261_01__00-channel-0-number-085_321450,Н,3,9,9,9,20,2,0.2222222222222222,2.2222222222222223,5.222222222222222,1,0.1111111111111111,1.0,1.0,0.0,0.0,0.0,0.0
126,0107642261_01__00-channel-0-number-086_325030,Н,3,5,5,5,14,2,0.4,2.8,6.4,1,0.2,1.0,1.0,0.0,0.0,0.0,0.0
127,0107642261_01__00-channel-0-number-087_328920,Н,3,7,7,7,11,0,0.0,1.5714285714285714,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
128,0107642841_01__00-channel-0-number-001_2710,Н,3,15,15,14,24,1,0.06666666666666667,1.6,3.6666666666666665,1,0.06666666666666667,1.0,0.9333333333333333,0.0,0.0,153.06122448979593,65.33333333333333
129,0107642841_01__00-channel-0-number-005_12070,Н,3,5,5,5,11,1,0.2,2.2,5.0,1,0.2,1.0,1.0,0.0,0.0,0.0,0.0
130,0107642841_01__00-channel-0-number-006_15670,Н,3,8,8,7,14,1,0.125,1.75,4.5,0,0.0,1.0,0.875,0.0,0.0,612.2448979591837,16.333333333333332
131,0107643201_00__00-channel-0-number-008_21060,Н,3,15,14,14,27,0,0.0,1.9285714285714286,4.928571428571429,0,0.0,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0
132,0107643591_00__00-channel-0-number-004_12400,Н,3,8,7,7,13,1,0.125,1.625,3.5,1,0.125,0.875,0.875,612.2448979591837,16.333333333333332,612.2448979591837,16.333333333333332
133,0107647111_00__00-channel-0-number-001_2010,Н,3,6,6,6,12,1,0.16666666666666666,2.0,4.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
134,0107647111_00__00-channel-0-number-002_4380,Н,3,11,10,10,19,1,0.1,1.9,4.7,0,0.0,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0
135,0107647111_00__00-channel-0-number-007_23520,Н,3,8,8,8,21,1,0.125,2.625,6.125,1,0.125,1.0,1.0,0.0,0.0,0.0,0.0
136,0107648481_00__00-channel-0-number-039_138890,Н,3,7,7,7,14,1,0.14285714285714285,2.0,5.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
137,0107648711_00__00-channel-0-number-002_5900,Н,3,5,5,5,8,0,0.0,1.6,3.8,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
138,0107648711_00__00-channel-0-number-003_8960,Н,3,8,8,7,13,0,0.0,1.625,4.0,0,0.0,1.0,0.875,0.0,0.0,612.2448979591837,16.333333333333332
139,0107648711_00__00-channel-0-number-004_12270,Н,3,11,9,9,17,0,0.0,1.5454545454545454,3.6363636363636362,0,0.0,0.8181818181818182,0.8181818181818182,740.7407407407408,13.5,740.7407407407408,13.5
140,0107648861_00__00-channel-0-number-001_8300,Н,3,7,6,6,10,1,0.16666666666666666,1.6666666666666667,5.0,1,0.16666666666666666,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.0
141,0107648861_00__00-channel-0-number-004_22880,Н,3,7,7,7,9,0,0.0,1.2857142857142858,2.5714285714285716,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
142,0107648861_00__00-channel-0-number-015_64460,Н,3,12,12,11,18,0,0.0,1.5,3.6666666666666665,0,0.0,1.0,0.9166666666666666,0.0,0.0,247.93388429752065,40.333333333333336
143,0107648861_00__00-channel-0-number-016_72420,Н,3,10,9,9,19,1,0.1111111111111111,2.111111111111111,4.555555555555555,0,0.0,0.9,0.9,0.0,0.0,0.0,0.0
144,0107648861_00__00-channel-0-number-017_77010,Н,3,11,11,10,17,1,0.09090909090909091,1.5454545454545454,3.6363636363636362,0,0.0,1.0,0.9090909090909091,0.0,0.0,300.0,33.333333333333336
145,0107648861_00__00-channel-0-number-018_81200,Н,3,7,7,7,10,0,0.0,1.4285714285714286,3.7142857142857144,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
146,0107648861_00__00-channel-0-number-023_98250,Н,3,7,7,7,14,2,0.2857142857142857,2.0,4.857142857142857,1,0.14285714285714285,1.0,1.0,0.0,0.0,0.0,0.0
147,0107648861_00__00-channel-0-number-024_101220,Н,3,7,7,7,13,0,0.0,1.8571428571428572,4.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
148,0107648991_00__00-channel-0-number-005_11860,Н,3,7,6,6,11,0,0.0,1.5714285714285714,3.2857142857142856,0,0.0,0.8571428571428571,0.8571428571428571,833.3333333333334,12.0,833.3333333333334,12.0
149,0107649001_00__00-channel-0-number-003_10260,Н,3,4,4,4,7,0,0.0,1.75,4.5,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
